Date,Open,High,Low,Adj Close,Close
2001/1/25,356.730774,362.980774,352.403839,197.122452,353.365387
2001/1/26,357.211548,360.096161,342.788452,191.490234,343.269226
2001/1/29,345.153839,355.769226,338.461548,190.439011,341.384613
2001/1/30,344.307678,355.923065,341.692322,198.463318,355.769226
2001/1/31,359.615387,361.153839,350.461548,197.304749,353.692322
2001/2/1,357.692322,359.461548,353.076935,198.377579,355.615387
2001/2/2,355.769226,360.769226,352.692322,198.592056,356
2001/2/5,356.769226,370,354.230774,205.329132,368.076935
2001/2/6,368.076935,369.923065,363.076935,204.256348,366.153839
2001/2/7,366.692322,367.692322,358.615387,201.467194,361.153839
2001/2/8,367.307678,370.384613,361.769226,202.282379,362.615387
2001/2/9,362.615387,362.692322,349.153839,195.93161,351.230774
2001/2/12,351.230774,367.846161,351.230774,203.870148,365.461548
2001/2/13,366.615387,369.153839,362.538452,202.368164,362.769226
2001/2/14,362.769226,363,354.769226,198.506271,355.846161
2001/2/15,356.153839,370,355,205.886963,369.076935
2001/2/16,357.692322,364.076935,355.846161,201.681686,361.538452
2001/2/20,363.076935,371.615387,362.846161,204.642578,366.846161
2001/2/21,366.923065,372.692322,363.230774,202.969009,363.846161
2001/2/22,364.230774,365.384613,354.307678,202.110779,362.307678
2001/2/23,358.076935,361.538452,346.307678,198.16304,355.230774
2001/2/26,361.538452,369.307678,355.384613,205.886963,369.076935
2001/2/27,365.230774,369.230774,361.538452,205.972702,369.230774
2001/2/28,369.230774,371.076935,350.769226,199.536133,357.692322
2001/3/1,350,354.384613,345.461548,197.004364,353.153839
2001/3/2,348.846161,351.230774,342.461548,191.254257,342.846161
2001/3/5,344.230774,348.923065,343.076935,194.139679,346.769226
2001/3/6,355.769226,358.461548,348.615387,195.603882,349.384613
2001/3/7,349.769226,355.846161,349.769226,198.015549,353.692322
2001/3/8,355,356.615387,346.153839,197.54187,352.846161
2001/3/9,348.076935,349,334.230774,188.670303,337
2001/3/12,330.769226,333.076935,296.923065,170.539658,304.615387
2001/3/13,319.230774,326.923065,313.461548,182.296677,325.615387
2001/3/14,313.461548,325,308.461548,176.698151,315.615387
2001/3/15,319.230774,321.923065,313.076935,176.913452,316
2001/3/16,310.769226,321.153839,308.461548,174.84639,312.307678
2001/3/19,313.076935,320.153839,308.846161,176.999619,316.153839
2001/3/20,319.230774,323.846161,307.692322,172.477631,308.076935
2001/3/21,308.076935,312.307678,299,167.955795,300
2001/3/22,298.076935,298.538452,280.153839,162.357269,290
2001/3/23,298.076935,307.615387,293.461548,172.21933,307.615387
2001/3/26,311.538452,315.384613,308.076935,173.252869,309.461548
2001/3/27,313.461548,324.923065,311.923065,180.487869,322.384613
2001/3/28,317.307678,320,313.846161,178.937531,319.615387
2001/3/29,317.692322,319.076935,313.076935,178.29158,318.461548
2001/3/30,321.153839,322.461548,317.076935,180.272537,322
2001/4/2,319.384613,328.076935,314.461548,180.014053,321.538452
2001/4/3,319.615387,319.923065,302,170.884293,305.230774
2001/4/4,304.230774,314.615387,300.307678,170.539658,304.615387
2001/4/5,315.384613,325,312.307678,181.306137,323.846161
2001/4/6,319.615387,320.769226,310.384613,177.301056,316.692322
2001/4/9,318.769226,326.153839,317.076935,180.875458,323.076935
2001/4/10,328.846161,350.230774,327.692322,188.756561,337.153839
2001/4/11,341.538452,342.307678,328.846161,186.344849,332.846161
2001/4/12,335,343.846161,332.461548,192.503159,343.846161
2001/4/16,342.538452,344.230774,337.769226,192.287811,343.461548
2001/4/17,339.230774,349.923065,338.384613,195.776184,349.692322
2001/4/18,352.923065,368.923065,350.153839,206.241196,368.384613
2001/4/19,365.384613,373.461548,364.076935,208.911179,373.153839
2001/4/20,373.153839,373.153839,365.384613,207.145508,370
2001/4/23,367.307678,367.384613,360.615387,203.269714,363.076935
2001/4/24,361.538452,367.692322,353,198.058685,353.769226
2001/4/25,359.230774,372.923065,356.923065,205.896561,367.769226
2001/4/26,376.538452,379.923065,373,212.313309,379.230774
2001/4/27,379.230774,384.230774,371.461548,215.112717,384.230774
2001/4/30,384.538452,384.692322,369.307678,208.997299,373.307678
2001/5/1,369.615387,376.538452,367.692322,210.633759,376.230774
2001/5/2,377.153839,380.307678,370.153839,211.452118,377.692322
2001/5/3,377.692322,377.769226,369.307678,208.868134,373.076935
2001/5/4,366.153839,384.461548,365.461548,215.026596,384.076935
2001/5/7,384.076935,384.615387,380.615387,215.155731,384.307678
2001/5/8,384.307678,384.615387,374.692322,213.088531,380.615387
2001/5/9,376.923065,387.692322,375.076935,212.873291,380.230774
2001/5/10,385.769226,386.153839,380.076935,214.595764,383.307678
2001/5/11,383.384613,384.615387,373.153839,211.064423,377
2001/5/14,377,384.538452,375.307678,214.165115,382.538452
2001/5/15,382.538452,387.384613,379.230774,215.973999,385.769226
2001/5/16,384.538452,401.923065,381.923065,224.845459,401.615387
2001/5/17,400,404.846161,397.692322,224.414841,400.846161
2001/5/18,400.846161,407.615387,399.538452,228.204514,407.615387
2001/5/21,407.615387,411.923065,405.384613,229.970291,410.769226
2001/5/22,408.846161,409.923065,397.692322,226.869507,405.230774
2001/5/23,403.461548,406.384613,393.769226,221.1418,395
2001/5/24,394.230774,399.461548,390.384613,221.357132,395.384613
2001/5/25,393.846161,393.846161,381.153839,215.112717,384.230774
2001/5/29,387.615387,388.846161,381.923065,213.906738,382.076935
2001/5/30,382.076935,385,376.923065,211.107574,377.076935
2001/5/31,378.076935,381.923065,375,211.021362,376.923065
2001/6/1,376.846161,380.076935,369.230774,211.021362,376.923065
2001/6/4,377.692322,381.692322,376.230774,212.959366,380.384613
2001/6/5,378.461548,379.615387,374,211.796494,378.307678
2001/6/6,376.923065,379.153839,372.384613,209.944809,375
2001/6/7,375,376.769226,370.538452,210.633759,376.230774
2001/6/8,375.692322,375.692322,367.615387,207.317795,370.307678
2001/6/11,368.076935,376.538452,363.230774,204.130814,364.615387
2001/6/12,364.615387,379,355.846161,210.030838,375.153839
2001/6/13,370,379.153839,366.923065,206.068787,368.076935
2001/6/14,375.153839,386.230774,368.076935,210.418518,375.846161
2001/6/15,371.538452,379.615387,369.230774,210.203293,375.461548
2001/6/18,376.923065,382.461548,373.384613,211.021362,376.923065
2001/6/19,383.076935,384.461548,375,210.461533,375.923065
2001/6/20,374.615387,391.153839,373.615387,218.64415,390.538452
2001/6/21,387.692322,403.230774,387.538452,220.711166,394.230774
2001/6/22,393.076935,403.307678,393,223.33812,398.923065
2001/6/25,397.692322,404.692322,385.769226,216.404694,386.538452
2001/6/26,376.923065,384.384613,375.230774,210.116898,375.307678
2001/6/27,374.615387,377.692322,367.230774,207.834503,371.230774
2001/6/28,367.307678,380.384613,364.538452,210.461533,375.923065
2001/6/29,376.923065,393,372.923065,211.021362,376.923065
2001/7/2,376.307678,386.153839,376,216.189316,386.153839
2001/7/3,380.769226,383.846161,378.923065,213.217697,380.846161
2001/7/5,375.384613,380,372.307678,209.41568,372.846161
2001/7/6,370.769226,371,358.461548,202.589386,360.692322
2001/7/9,360.769226,362.538452,356.153839,202.416443,360.384613
2001/7/10,359.615387,363.384613,351.461548,197.707031,352
2001/7/11,352.307678,353.384613,340.769226,192.738434,343.153839
2001/7/12,353.076935,363.076935,345.384613,203.064529,361.538452
2001/7/13,358.461548,367.307678,354.923065,205.008713,365
2001/7/16,362.692322,365.384613,352.153839,199.694489,355.538452
2001/7/17,351.923065,357.846161,349.230774,199.219223,354.692322
2001/7/18,350.769226,355.769226,349.230774,199.392136,355
2001/7/19,356.153839,365,354.076935,200.81781,357.538452
2001/7/20,359.230774,361.153839,355.230774,201.466019,358.692322
2001/7/23,357.692322,358.615387,347.692322,195.719574,348.461548
2001/7/24,349.230774,350.384613,332.692322,190.102997,338.461548
2001/7/25,341.538452,345.461548,331.923065,189.238831,336.923065
2001/7/26,338.076935,339.230774,332.692322,189.022751,336.538452
2001/7/27,339.615387,345,337.307678,192.91124,343.461548
2001/7/30,342.692322,345.384613,333.846161,188.374741,335.384613
2001/7/31,333.461548,340.384613,330.692322,187.942719,334.615387
2001/8/1,330.769226,334.846161,326.153839,184.918396,329.230774
2001/8/2,331.538452,332.153839,323.846161,182.325974,324.615387
2001/8/3,325.384613,329.230774,322.307678,184.702362,328.846161
2001/8/6,326.153839,327,317.538452,178.82634,318.384613
2001/8/7,318.846161,329.615387,317.384613,184.788742,329
2001/8/8,325.769226,326.923065,319.230774,179.949707,320.384613
2001/8/9,320.384613,325,317.692322,181.029907,322.307678
2001/8/10,323.076935,329.307678,318.384613,183.924606,327.461548
2001/8/13,326.923065,331.615387,323.230774,182.455643,324.846161
2001/8/14,327.692322,328.846161,320.769226,180.813782,321.923065
2001/8/15,323.076935,325.461548,320.846161,180.511429,321.384613
2001/8/16,319.461548,322.307678,315.384613,179.733673,320
2001/8/17,317.692322,318.461548,310.384613,176.277267,313.846161
2001/8/20,315.384613,322.307678,310.846161,179.431259,319.461548
2001/8/21,319.384613,321.769226,310.769226,174.851501,311.307678
2001/8/22,311.923065,317.692322,309.923065,176.493347,314.230774
2001/8/23,314.615387,317.769226,312.384613,177.314178,315.692322
2001/8/24,316.153839,325.076935,315.461548,181.41864,323
2001/8/27,323.076935,327.384613,320.384613,182.196396,324.384613
2001/8/28,325,325.384613,316.538452,178.135162,317.153839
2001/8/29,320.384613,320.384613,312.384613,175.456375,312.384613
2001/8/30,313.076935,319.230774,306.461548,173.684952,309.230774
2001/8/31,308.846161,316.923065,308.230774,176.709351,314.615387
2001/9/4,314.615387,324.384613,310.384613,176.406891,314.076935
2001/9/5,315.230774,323,311.538452,180.16568,320.769226
2001/9/6,317.692322,319.384613,310.846161,174.981155,311.538452
2001/9/7,307.692322,310,302.615387,171.351898,305.076935
2001/9/10,300.076935,308.923065,299.615387,170.012497,302.692322
2001/9/17,273.076935,286.153839,265.384613,151.866257,270.384613
2001/9/18,270.769226,278.461548,258.153839,146.249649,260.384613
2001/9/19,264.615387,266.538452,238.461533,140.416962,250
2001/9/20,240.769226,242.538467,233.615387,131.214233,233.615387
2001/9/21,223.07692,250.07692,219.230774,135.232376,240.769226
2001/9/24,259.615387,272.846161,251.92308,152.082321,270.769226
2001/9/25,270.846161,277.923065,266.692322,153.378479,273.076935
2001/9/26,276.923065,276.923065,269.230774,153.986099,272.923065
2001/9/27,273.846161,276.923065,269.384613,156.02594,276.538452
2001/9/28,279.230774,286.923065,277.076935,161.45108,286.153839
2001/10/1,286.923065,290.461548,285,163.360687,289.538452
2001/10/2,288.846161,293.153839,282.230774,165.140121,292.692322
2001/10/3,289.615387,295.923065,287.692322,165.574158,293.461548
2001/10/4,295.769226,297.692322,285.384613,162.275711,287.615387
2001/10/5,287.615387,289.923065,278.538452,162.536072,288.076935
2001/10/8,282.692322,286.538452,278.846161,159.715057,283.076935
2001/10/9,283.076935,285.923065,280.076935,159.801834,283.230774
2001/10/10,283.153839,293.384613,280.846161,164.532516,291.615387
2001/10/11,295.384613,303.769226,294.615387,169.046234,299.615387
2001/10/12,299.538452,301.076935,288.538452,169.263184,300
2001/10/15,296.538452,300.615387,292.769226,168.655685,298.923065
2001/10/16,298.923065,301.923065,293.076935,166.963013,295.923065
2001/10/17,298.076935,298.153839,284.769226,161.234116,285.769226
2001/10/18,285.384613,288.461548,283.461548,161.668091,286.538452
2001/10/19,284.615387,287.692322,281.076935,161.668091,286.538452
2001/10/22,285.769226,290.769226,284.692322,163.23053,289.307678
2001/10/23,292.307678,292.692322,284,161.754898,286.692322
2001/10/24,286.769226,291.538452,283.846161,160.930283,285.230774
2001/10/25,283.461548,292,277.230774,164.358902,291.307678
2001/10/26,294.153839,299.846161,289.230774,168.742462,299.076935
2001/10/29,297.307678,298.076935,287.307678,162.44928,287.923065
2001/10/30,282.692322,284.461548,279.384613,157.718628,279.538452
2001/10/31,281.538452,285.769226,278.846161,158.022461,280.076935
2001/11/1,278.846161,294.076935,277.307678,164.532516,291.615387
2001/11/2,289.230774,295.384613,285.230774,164.749466,292
2001/11/5,296.923065,300.769226,295.692322,168.265045,298.230774
2001/11/6,298.230774,307.538452,295.769226,172.735214,306.153839
2001/11/7,305,307.384613,300.692322,170.782242,302.692322
2001/11/8,304.230774,311.307678,303.461548,175.122406,310.384613
2001/11/9,309.923065,311.384613,306.461548,175.382797,310.846161
2001/11/12,306.923065,308.846161,297,171.129486,303.307678
2001/11/13,307.692322,312.230774,306.153839,176.033737,312
2001/11/14,315,318.461548,311.615387,177.422638,314.461548
2001/11/15,314.461548,320,313.846161,180.330414,319.615387
2001/11/16,319.615387,319.615387,309.692322,177.292389,314.230774
2001/11/19,316.538452,319.846161,313.076935,179.028412,317.307678
2001/11/20,316.923065,321.307678,313.846161,178.377411,316.153839
2001/11/21,315.384613,316.923065,308.923065,175.55629,311.153839
2001/11/23,312.692322,316.538452,311.923065,178.030151,315.538452
2001/11/26,318.846161,320.923065,315.384613,179.332199,317.846161
2001/11/27,316.923065,321.384613,312.538452,178.247147,315.923065
2001/11/28,309.615387,315.384613,301.076935,170.782242,302.692322
2001/11/29,302.692322,306.076935,301.076935,172.431534,305.615387
2001/11/30,305.615387,306.769226,295.769226,167.093155,296.153839
2001/12/3,295.384613,295.384613,281.615387,160.23587,284
2001/12/4,290.384613,293.923065,284.615387,162.102081,287.307678
2001/12/5,289.230774,294.307678,285.461548,162.970093,288.846161
2001/12/6,291.538452,295.307678,288.846161,163.838196,290.384613
2001/12/7,290.461548,290.461548,285,161.234116,285.769226
2001/12/10,286.153839,293.461548,281.923065,159.715057,283.076935
